firing_rate,fraction,cell_type
-20,0.012139918,PN
0,0.17037037,PN
20,0.174074074,PN
40,0.107304527,PN
60,0.086728395,PN
80,0.107304527,PN
100,0.097016461,PN
120,0.076440329,PN
140,0.055864198,PN
160,0.066152263,PN
180,0.027572016,PN
200,0.045576132,PN
220,0.027572016,PN
240,0.043004115,PN
-20,0.196467764,ORN
0,0.507253086,ORN
20,0.095730453,ORN
40,0.035716735,ORN
60,0.027143347,ORN
80,0.035716735,ORN
100,0.027143347,ORN
120,0.016426612,ORN
140,0.027143347,ORN
160,0.027143347,ORN
180,0.046433471,ORN
200,0.027143347,ORN
220,0.025,ORN
240,0.014283265,ORN
