"","ac1A","ac1B","ac2A","ac2B","ac3A","ac3B","ac4","Or1a","Or2a","Or7a","Or9a","Or10a","Or13a","Or19a","Or22a","Or22b","Or22c","Or23a","Or24a","Or30a","Or33a","Or33b","Or33c","Or35a","Or42a","Or42b","Or43a","Or43b","Or45a","Or45b","Or46a","Or47a","Or47b","Or49a","Or49b","Or59a","Or59b","Or59c","Or65a","Or67a","Or67b","Or67c","Or67d","Or71a","Or74a","Or82a","Or85a","Or85b","Or85c","Or85d","Or85e","Or85f","Or88a","Or92a","Or94a","Or94b","Or98a","Gr21a.Gr63a","ab2B","ab4B","ab5B","pb2A","Or69a","ac1","ac2","ac3_noOr35a","Ir31a","Ir41a","Ir75a","Ir75d","Ir76a","Ir84a","Ir92a","Ir64a.DC4","Ir64a.DP1m","ac1BC","ac2BC","Or83c"
"SFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XLYOFNOQVPJJNP-UHFFFAOYSA-N",-0.0400770640925595,NA,0.0307155552699838,NA,0.153859859538547,0.0165458982354731,0.0120755636463874,0.0248784137673027,NA,0.0691142801097602,0.00442963470965631,0.0050721028241488,0.117890008855125,NA,0.283506078420653,NA,NA,NA,NA,0.0310296747703951,0.0170594837261504,NA,NA,NA,0.0408551111788558,0.172962879220249,NA,0.0504973188990403,0.24649538647814,0.0031851470332722,NA,NA,NA,0.0119607379042773,0.0310595035443914,NA,0.0189923381497709,0.0010521939122294,NA,NA,0.0652531519661819,0.0029051223554975,NA,-0.0092390259466639,0.235966235567399,0.0351918576776551,NA,0.154720032210256,0.0716506328334961,0.0463781052492437,NA,NA,NA,-0.0097560576978804,0.156683320109609,0.0367487567790935,0.132850892440543,NA,0.00102191517387773,NA,0.0674415591726737,NA,NA,0.071153678012223,0.095236734693878,0.060338885379286,0.022073787218275,0.166016111150906,0.220063546141637,-0.0125401489783367,-0.0109249215155404,0.026814564353,-0.0756374678126319,0.85496339878224,0.164965188974987,0.0045269770879527,0.0022724084702017,NA
"VHUUQVKOLVNVRT-UHFFFAOYSA-N",0.414128862760179,NA,-0.0064079908682861,NA,0.0032264778685332,0.333685600874096,0.0583111463729694,NA,0.0081830782998857,0.0422120154802401,0.0440746122529839,0.0022584341689704,0.0436027023608398,-0.0028525932792965,0.100498902634002,NA,NA,-0.0042925808537571,NA,NA,NA,-0.0546712152408891,NA,-0.0083509112616358,-0.051023838086098,0.0609864259183673,-0.00458674259843239,0.004752100235199,NA,NA,NA,0.0294746309143792,-0.020327220807475,NA,0.0080573133452366,NA,-0.0121884996749445,-0.0010265321089781,0.0098050736316526,0.0169995638276558,NA,0.003036962186171,NA,-0.0088131929441356,NA,0.0034673451988793,-0.0125284072596969,-0.010914904099853,NA,-0.00234523276590019,NA,0.0527152920381219,-6.69012311782999e-05,-0.0232141542513452,NA,NA,0.0530094962592734,NA,-0.00088878946529325,NA,-0.003441691696554,NA,NA,0.512189409822902,0.004081632653062,0.114008868509644,-0.115003211860959,-0.162659167726898,0.0369005210355913,0.0054670949224356,0.0130655084598044,-0.170318897979389,-0.0590099092668729,0.0283573920777177,0.005463305935359,0.0022634885439763,0.0039771410059869,NA
"KIDHWZJUCRJVML-UHFFFAOYSA-N",-0.00173559613768071,0.043580288300369,0.827884250726767,-0.0265854333979507,0.121238863108949,0.367505064027633,-0.000608693714684,NA,0.0153395170932285,0.0251181611032478,0.0335242312140001,0.0050841284972976,0.0736497185157278,-0.0194142121825144,0.0906291505290655,NA,NA,-0.0042925808537571,NA,NA,NA,-0.0385866618922604,NA,-0.0216551515900559,0.0926589702265778,0.207020145749798,-0.063098350061982,0.034367978195999,NA,NA,NA,-0.0298693350134396,-0.064722195028267,NA,0.0160775572565156,NA,0.0059409252702284,0.0285991770215704,-0.0067364459174812,-0.0173837705848927,NA,0.0192514398842624,NA,0.0057191400734829,NA,0.0205037324896854,-0.0247527451667085,0.102386894007978,NA,0.0343827999334135,NA,0.0270809498476815,-0.012496744279142,-0.016896270887177,NA,NA,0.0575471104383726,NA,-0.00042649942295276,0.241956674456805,0.0973375189123092,NA,NA,0.057813266717224,0.741836734693878,0.029359947007855,0.022753248703289,0.328088400656823,0.190034147854398,-0.0004100321191827,-0.0162208921776456,-0.012234269182523,-0.0448640758771973,0.32622973250325,0.131718973587863,0.0045269770879527,0.0102283952147113,NA
"VHRGRCVQAFMJIZ-UHFFFAOYSA-N",NA,NA,NA,NA,0.0968152354520124,0.0181493611414239,-0.00600454040461161,NA,0.0034746879543212,-0.0064058969517571,0.0755575020741749,-0.0052778776984584,NA,-0.0140978899539957,0.00541001078898359,NA,NA,-0.01502403298815,NA,NA,NA,-0.0486005307189239,NA,0.0181416073252834,NA,NA,-0.0470055051972422,0.038286562601431,NA,NA,NA,-0.0282164324579131,-0.040199181782105,NA,0.0071402407961078,NA,0.0038718325175118,NA,-0.0033471695351203,-0.0221596309044466,NA,0.0160127501408412,NA,NA,NA,-0.00597417094528,-0.0212600771932766,0.0363168091454736,NA,NA,NA,0.04997589490564,-6.69012311782999e-05,NA,NA,NA,0.0635778291010445,NA,NA,-0.0397686431855943,NA,NA,NA,0.236673060623634,0.51530612244898,0.00209713907198961,-0.0434506908621772,0.250996077548852,0.111835286497108,0.0019476525661176,-0.0103144578314354,-0.00837351245205201,-0.0357092675236451,0.293186016282411,0.0859138171176281,NA,NA,NA
"QGZKDVFQNNGYKY-UHFFFAOYSA-N",0.48551487191809,0.034864230640295,-0.0211335268012885,-0.0384011815748177,0.00108653177233779,0.064803796935832,0.0848240623825624,NA,NA,0.0580914717952127,NA,0.0465445824988435,0.0389753049809678,NA,0.0035676872618695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0203497350341643,NA,NA,NA,NA,NA,NA,NA,NA,0.0299416170218626,NA,-0.0112062855969577,NA,NA,NA,NA,0.0481288322928658,NA,NA,NA,0.0236372641031732,NA,0.233958817124046,NA,NA,NA,NA,NA,-0.0142409429433528,NA,NA,0.0847235011148553,0.030293537573234,-0.00216668325044697,0.241072194176627,0.0759923683361652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0921658986175112
"HZAXFHJVJLSVMW-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,0.0128884973806664,NA,NA,0.0601159252436818,NA,0.024524532608025,0.0484852150901708,NA,0.196786655335728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0203497350341643,NA,NA,NA,NA,NA,NA,NA,NA,0.0299416170218626,NA,-0.0082785204692995,NA,NA,NA,NA,0.0481288322928658,NA,NA,NA,0.0236372641031732,NA,0.126062637799383,NA,NA,NA,NA,NA,-0.0142409429433528,NA,NA,0.0847235011148553,NA,0.0217030596808825,NA,0.103279266696083,NA,NA,0.229446402283981,0.048979591836735,0.023068529791886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0783410138248848
"WJYIASZWHGOTOU-UHFFFAOYSA-N",0.140468637131522,0.0261481729802213,-0.0560499756806606,-0.0590787408843349,-0.0234485176029896,0.40878441314276,-0.00363420867444221,NA,NA,NA,NA,NA,NA,-0.0622697820984023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.046973279207744,-0.16938775510204,-0.08493413241558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMFVGAAISNGQNM-UHFFFAOYSA-N",0.134947897374936,-0.06972846128059,-0.0560499756806606,-0.0531708667959014,-0.0203928344171338,0.317813360365724,-0.0111452671458412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.076783244858812,-0.170408163265306,-0.0880798410235645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROSDSFDQCJNGOL-UHFFFAOYSA-N",0.0217727323649417,0.030506201810258,-0.0132798907349067,-0.0265854333979507,0.0195047018641989,0.192299430195246,0.0854437545418894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303519650265424,-0.0755102040816322,-0.016777112575917,-0.105647549874997,-0.130263489928786,0.0239594006070253,-0.0042369985648876,0.0110359149126503,-0.152750312634876,0.27665720545539,0.168365601696655,0.0980396912668391,NA,NA,NA
