bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,is_canonical,across_dataset_cluster,notes
1536947502,917,2426,2426,7026,Traced,D_adPN_R,1798816972,True,right,D_adPN,D_adPN,uPN,AVM01,D,2.186,2.0,5073.0,1902.0,260.0,2143.0,2534.9722644195604,382.04121290981203,1432.78815029406,230.442775931686,0.28130105437762104,True,9,
5813055184,918,2487,2487,7137,Traced,D_adPN_R,1891883208,True,right,D_adPN,D_adPN,uPN,AVM01,D,2.151,2.0,5067.0,1913.0,251.0,2219.0,2621.26093233834,384.61686043107,1512.95092048025,242.81382600963502,0.28823520869656105,True,9,
5813038889,940,2457,2457,6975,Traced,D_adPN_R,1695668588,True,right,D_adPN,D_adPN,uPN,AVM01,D,2.1519999999999997,2.0,4986.0,1964.0,219.0,2225.0,2686.3274000307,421.11130589551203,1513.44789680985,224.04363694137402,0.293650216177533,True,9,
733316908,665,2114,2114,6673,Traced,DA1_vPN_R,1489850858,False,right,DA1_vPN,DA1_vPN,uPN,AVM04,DA1,2.141,2.0,6245.0,367.0,391.0,1717.0,2994.84677344865,888.758818533575,1473.63829949778,208.505891884939,0.49068655000514,False,155,
5813039315,691,2263,2263,5579,Traced,DA1_lPN_R,1010906190,False,right,DA1_lPN,DA1_lPN,uPN,AVM02,DA1,2.16,2.0,4411.0,1156.0,184.0,2062.0,2187.22427555476,378.809333668255,1275.49954942721,251.579589840843,0.386870547103367,True,83,
1734350788,617,2086,2086,4880,Traced,DA1_lPN_R,1171353907,True,right,DA1_lPN,DA1_lPN,uPN,AVM02,DA1,2.13,2.0,3731.0,1144.0,146.0,1929.0,2131.66404924474,338.734191311002,1245.051586047,246.30184766775398,0.374406972483912,True,83,
722817260,692,2440,2440,5563,Traced,DA1_lPN_R,1100362286,False,right,DA1_lPN,DA1_lPN,uPN,AVM02,DA1,2.131,2.0,4258.0,1297.0,168.0,2259.0,2199.28448504078,364.49514720008904,1343.10492359215,252.508629687986,0.378465920912705,True,83,
1734350908,723,2318,2318,5839,Traced,DA1_lPN_R,1375776405,True,right,DA1_lPN,DA1_lPN,uPN,AVM02,DA1,2.1390000000000002,2.0,4451.0,1384.0,144.0,2170.0,2434.2161014264498,392.13888464254205,1410.18637386328,231.327701348517,0.379659808078067,True,83,
754534424,641,2368,2368,5276,Traced,DA1_lPN_R,1262418443,True,right,DA1_lPN,DA1_lPN,uPN,AVM02,DA1,2.12,2.0,4074.0,1202.0,166.0,2193.0,2293.94383386493,371.667994300158,1353.6333921683502,244.27893474086002,0.3841643294578139,True,83,
754538881,622,2321,2321,4862,Traced,DA1_lPN_R,1213863758,True,right,DA1_lPN,DA1_lPN,uPN,AVM02,DA1,2.13,2.0,3477.0,1359.0,78.0,2233.0,2332.46620981622,344.518882306101,1479.1632537836301,244.02568819319998,0.38698039626252,True,83,
