model_glom,1-butanol,1-hexanol,1-pentanol,"2,3-butanedione",2-heptanone,2-octanone,3-methylthio-1-propanol,3-octanol,4-methylcyclohexanol,4-methylphenol,E2-hexenal,Z3-hexenol,benzaldehyde,butyric acid,cyclohexanone,ethanol,ethyl acetate,ethyl butyrate,ethyl lactate,gamma-valerolactone,geranyl acetate,hexyl acetate,isopentyl acetate,methyl salicylate,octanal,pentyl acetate
DA1,,,,,,,,,,,,,,,,,,,,,,,,,,
VC5,,,,-0.0692281549468353,,,,,,,,,,0.143456512336423,,,-0.033874610914982006,,,,,,,,,-0.052419962697959996
VA1v,-0.064722195028267,-0.12357876275028698,-0.08797534661750099,-0.007973313321215009,-0.012528859870379,-0.05124104229909401,-0.067913584141545,-0.05962762030154,0.011425660597793997,0.033673059975671,0.056653396432845005,-0.092939029214452,-0.06890764304998,-0.071286813920952,-0.00394548262597799,-0.05591846595236,-0.00578375534959299,-0.039663236317603,-0.07489110087460901,-0.057530975800929,0.00827856747321098,-0.085303617341101,-0.162325175929833,0.048856950655207,-0.157471030330077,-0.06353880292131299
VA1d,-6.690123117829991e-05,0.0324948606624132,0.0165062228327733,0.0230236276759799,0.0393125225934141,,0.0040763797848096,,,,-0.0169358690767155,-0.0332131493590815,-0.0062818227551601,-0.0042101822471662,,-0.0249265873271056,0.010801216553845,-0.0184459654222555,-0.0145683847871359,,0.0020814366057014897,0.0061480202928036,-0.0021385417391722,-0.0145890665912637,,0.0184758380472905
VA2,-0.0142409429433528,0.0438860403643006,,0.6887872036895161,-0.0043107742565844,-0.0209978000387694,-0.0142409429433528,-0.019173475969653,-0.0188134852585359,-0.0172184880059399,0.0775166014054783,-0.0181470278438775,0.0079028911518394,-0.0170778205381215,-0.0212421774441925,,0.125437087909273,0.13522079279732901,,0.23695821289475102,0.01132244557877,-0.0221131793541498,-0.0142409429433528,-0.0026767822165234,-0.0251574201235742,0.0285799410889705
VA6,0.0713570305058744,0.0421731611375221,0.146605546463117,0.017822484360455002,0.0364407369975111,,0.0445931642148972,0.0547154711115193,0.0236372641031732,-0.0017168825900987,0.0125964212866409,0.0827035295766351,0.0096121567958259,0.0158790337315489,0.0017417101118881,0.0279303722453654,0.0219461962561587,0.0202215036642173,0.10704715505719999,0.0236372641031732,0.70640417303225,0.0522739977259298,0.0558053550815807,0.0149179225845248,,0.0326398251666567
DM1,0.0183262089314489,0.17520480030166,,0.29061175755935403,0.0436121254237452,-0.0487049580506489,-0.0203497350341643,0.0626508616171293,-0.011541314406623001,0.0134278185170567,0.0403324677452067,0.138711812596465,0.0486586479820003,-0.0133492728917666,0.0430782278175957,,0.6099771338968261,0.4750986231530979,,-0.0226686892236285,0.0272708915253845,0.0544297793694483,0.18331622298139397,0.0156272265677781,0.0454692462880199,0.2552304043386
DL3,-0.0067364459174812,0.0214205551848548,0.0033067087941576,0.0417827161279451,0.10438171409926301,,-0.0067364459174812,,,,-0.0149820754561855,-0.0207493834208671,-0.0393398261902301,0.0284848586474549,,0.00657455178230529,-0.0044280620922198,-0.0212429908185833,0.0899857666093661,,-0.0120946102697477,0.117822650555126,0.0314933530795561,-0.0512613009782501,,0.0972796567460111
DL1,0.0096232073931236,0.019438930958743997,0.0335489591838176,0.0031630585690121,0.0162794867061254,0.22556015198607002,0.0393735385577398,0.118066833849527,0.130674699445262,0.23610315943040602,0.0193909530667165,0.0073743326871375,0.22207399658859198,0.117291370926506,-0.0055422057095462,0.0361805803840984,0.0260087809592973,0.0247878383508275,0.0847901957077477,0.166854348200852,0.0187928730647821,-0.0136500415461635,0.4194736161537971,0.753420048578451,0.0729050649262977,0.0301514852201572
VL2a,,,,-0.045468271023976,,,,,,,,,,0.08679477294810999,,,-0.025508902059689,,,,,,,,,-0.051460370697763005
